1870	10.33	8.55	7.97
1871	10.30	8.60	8.14
1872	10.35	8.58	7.98
1873	10.29	8.85	8.16
1874	10.33	8.74	8.10
1875	10.32	8.70	8.04
1876	10.32	8.69	7.99
1877	10.38	8.77	8.21
1878	10.36	8.79	7.90
1879	10.34	8.74	7.93
1880	10.38	8.75	8.10
1881	10.42	9.28	8.15
1882	10.41	8.94	8.40
1883	10.26	8.86	8.11
1884	10.26	8.85	8.32
1885	10.26	8.76	8.08
1886	10.26	8.60	8.02
1887	10.26	8.44	7.84
1888	10.29	8.87	8.09
1889	10.26	8.75	8.10
1890	10.26	8.84	8.05
1891	10.44	8.92	8.10
1892	10.26	8.93	8.19
1893	10.26	8.72	8.16
1894	10.30	8.60	8.17
1895	10.37	8.83	8.19
1896	10.37	8.68	8.00
1897	10.35	8.42	8.06
1898	10.32	8.40	7.84
1899	10.31	8.69	7.95
1900	10.33	8.60	8.15
1901	10.45	8.62	7.77
1902	10.46	8.59	8.03
1903	10.37	8.44	7.71
1904	10.37	8.39	7.65
1905	10.29	8.43	7.70
1906	10.30	8.59	7.81
1907	10.40	8.30	7.76
1908	10.34	8.55	7.74
1909	10.27	8.57	7.91
1910	10.26	8.81	8.15
1911	10.46	8.76	8.25
1912	10.34	8.77	8.27
1913	10.30	8.60	8.58
1914	10.37	8.65	8.10
1915	10.26	8.55	8.04
1916	10.30	8.65	8.46
1917	10.45	8.95	8.49
1918	10.46	8.83	8.46
1919	10.33	8.75	8.04
1920	10.28	8.41	8.15
1921	10.31	8.79	7.80
1922	10.32	8.63	7.75
1923	10.10	8.51	7.70
1924	10.33	8.64	7.79
1925	10.27	8.35	7.54
1926	10.31	8.56	8.06
1927	10.40	8.69	7.95
1928	10.36	8.59	7.98
1929	10.36	8.72	8.02
1930	10.34	8.42	7.62
1931	10.29	8.39	7.63
1932	10.32	8.67	7.80
1933	10.15	8.44	7.65
1934	10.40	9.04	8.31
1935	10.40	9.03	8.14
1936	10.33	8.91	7.62
1937	10.33	8.96	7.82
1938	10.33	8.70	7.40
1939	10.26	8.74	8.01
1940	10.29	8.34	7.16
1941	10.41	9.02	7.98
1942	10.41	9.04	7.98
1943	10.41	8.93	7.98
1944	10.37	8.91	7.98
1945	10.32	8.82	7.98
1946	10.31	9.02	8.56
1947	10.25	8.90	8.23
1948	10.33	9.08	8.41
1949	10.38	9.24	8.67
1950	10.30	9.01	8.58
1951	10.30	9.03	8.70
1952	10.38	9.18	8.64
1953	10.52	8.67	7.61
1954	10.51	8.69	7.64
1955	10.46	8.78	7.54
1956	10.44	8.76	7.63
1957	10.51	8.36	7.36
1958	10.47	8.32	7.18
1959	10.65	8.82	7.57
1960	10.18	8.42	7.10
1961	10.38	8.51	7.23
1962	10.13	8.48	7.61
1963	10.51	8.69	7.90
1964	10.49	8.52	7.72
1965	10.34	8.47	7.70
1966	10.38	8.56	7.57
1967	10.23	8.35	7.15
1968	10.47	8.56	7.24
1969	10.54	8.80	7.79
1970	10.46	8.43	7.56
1971	10.52	8.70	6.82
1972	10.63	8.56	7.58
1973	10.32	8.32	7.05
1974	10.19	8.22	7.06
1975	10.34	8.29	6.96
1976	10.46	8.40	7.13
1977	10.40	8.58	6.84
1978	10.23	8.30	7.34
1979	10.47	8.15	7.20
1980	10.39	8.04	7.85
1981	10.62	7.86	7.25
1982	10.75	8.26	7.45
1983	10.91	8.36	7.52
1984	10.15	7.87	7.17
1985	10.09	7.46	6.93
1986	10.47	8.01	7.54
1987	 9.98	7.69	7.48
1988	10.04	7.90	7.49
1989	10.38	7.92	7.04
1990	 9.62	6.82	6.24
1991	 9.68	7.40	6.55
1992	10.61	7.86	7.55
1993	 9.66	7.29	6.50
1994	10.22	7.61	7.18
1995	 9.15	6.68	6.13
1996	10.36	8.17	7.88
1997	 9.59	7.30	6.74
1998	 9.62	7.49	6.56
1999	 9.59	7.38	6.24
2000	 9.75	7.21	6.32
2001	 9.22	7.47	6.75
2002	 9.49	6.53	5.96
2003	 9.46	6.85	6.15
2004	 9.60	6.83	6.05
2005	 8.93	6.30	5.57
2006	 8.67	6.52	5.92
2007	 8.13	5.36	4.30
2008	 8.99	6.05	4.73
2009	 8.80	6.28	5.39
2010	 8.36	6.01	4.93
2011	 7.91	5.55	4.63
2012	 7.93	4.71	3.63
2013	 8.45	6.09	5.35
